protocol,delivery_rate,avg_cmd_latency_ms,energy_per_msg_mj,uplink_bytes,downlink_bytes,total_airtime_ms,commands_applied,ack_efficiency
novel_lpwan,0.9644001672007803,600379.1339449838,9.5576267298323,358850.0,6091.0,1744874.6679998592,80.0,14.87295081967213
mqtt_sn,0.9654451720774697,598225.0120864674,9.78661774000376,387558.0,5869.0,1784401.5839998194,230.0,1.0
coap,0.9632158283405322,597544.4557376013,10.824918132924815,488036.0,6263.0,1971306.9920000578,233.0,1.0
