timestamp_ms,device_id,protocol,direction,packet_size,airtime_ms,success,qos_class,energy_mj
7752282.414849356,92,novel_lpwan,downlink,10,41.288000000000004,True,normal,0.0
7752339.002849356,92,mqtt_sn,downlink,9,77.376,True,normal,0.0
7752372.546849356,92,coap,downlink,11,581.908,True,normal,0.0
7772074.957320987,29,novel_lpwan,downlink,10,152.55200000000002,True,normal,0.0
7772457.661320987,29,mqtt_sn,downlink,9,21.044,True,normal,0.0
7772491.205320987,29,coap,downlink,11,80.576,True,normal,0.0
8307151.07595277,9,novel_lpwan,downlink,10,21.544,True,normal,0.0
8307270.551952771,9,coap,downlink,11,22.044,True,normal,0.0
8307207.663952771,9,mqtt_sn,downlink,9,149.65200000000002,True,normal,0.0
8379550.758944732,38,novel_lpwan,downlink,9,77.376,True,normal,0.0
8379752.610944732,38,mqtt_sn,downlink,8,75.776,True,normal,0.0
8379869.986944732,38,coap,downlink,10,41.288000000000004,True,normal,0.0
8708332.82140407,5,novel_lpwan,downlink,48,40.544,True,normal,0.0
8708396.40940407,5,coap,downlink,49,41.044,True,normal,0.0
8708362.86540407,5,mqtt_sn,downlink,47,486.704,True,normal,0.0
9443588.905135583,77,novel_lpwan,downlink,48,40.544,True,normal,0.0
9443645.493135583,77,mqtt_sn,downlink,47,138.176,True,normal,0.0
9443708.381135583,77,coap,downlink,49,942.908,True,normal,0.0
9502936.810077257,68,coap,downlink,10,21.544,True,normal,0.0
9502517.706077257,68,mqtt_sn,downlink,8,553.408,True,normal,0.0
9517554.632663017,45,novel_lpwan,downlink,12,82.176,True,normal,0.0
9517756.484663017,45,mqtt_sn,downlink,11,22.044,True,normal,0.0
9518175.588663017,45,coap,downlink,13,23.044,True,normal,0.0
10051406.615110148,61,novel_lpwan,downlink,12,82.176,True,normal,0.0
10051512.791110149,61,mqtt_sn,downlink,11,42.188,True,normal,0.0
10051546.335110148,61,coap,downlink,13,23.044,True,normal,0.0
10121296.337541914,68,novel_lpwan,downlink,13,161.252,True,normal,0.0
10121679.041541914,68,mqtt_sn,downlink,8,146.752,True,normal,0.0
10121796.417541914,68,coap,downlink,10,294.304,True,normal,0.0
10588175.90178857,17,novel_lpwan,downlink,9,149.65200000000002,True,normal,0.0
10588323.32178857,17,coap,downlink,10,21.544,True,normal,0.0
10588205.94578857,17,mqtt_sn,downlink,8,146.752,True,normal,0.0
10706058.623025356,96,novel_lpwan,downlink,10,21.544,True,normal,0.0
10706164.799025357,96,mqtt_sn,downlink,9,77.376,True,normal,0.0
10706282.175025357,96,coap,downlink,11,22.044,True,normal,0.0
10735549.486825345,68,mqtt_sn,downlink,47,138.176,True,normal,0.0
10735492.898825346,68,novel_lpwan,downlink,48,262.752,True,normal,0.0
10735666.862825345,68,coap,downlink,49,141.376,True,normal,0.0
11471562.822697591,11,coap,downlink,49,41.044,True,normal,0.0
11471529.278697591,11,mqtt_sn,downlink,47,138.176,True,normal,0.0
11475949.713170946,7,novel_lpwan,downlink,12,22.544,True,normal,0.0
11476097.133170946,7,coap,downlink,13,23.044,True,normal,0.0
11475979.757170945,7,mqtt_sn,downlink,11,155.452,True,normal,0.0
12033629.75014428,21,novel_lpwan,downlink,48,40.544,True,normal,0.0
12033735.926144281,21,mqtt_sn,downlink,47,40.044,True,normal,0.0
12033853.302144282,21,coap,downlink,49,141.376,True,normal,0.0
12096339.764149264,11,novel_lpwan,downlink,48,40.544,True,normal,0.0
12367861.06583345,27,coap,downlink,49,76.388,True,normal,0.0
12367797.47783345,27,novel_lpwan,downlink,48,262.752,True,normal,0.0
12367827.52183345,27,mqtt_sn,downlink,47,486.704,True,normal,0.0
12493266.049155327,42,novel_lpwan,downlink,10,41.288000000000004,True,normal,0.0
12493467.901155327,42,mqtt_sn,downlink,9,149.65200000000002,True,normal,0.0
12544270.11983828,16,novel_lpwan,downlink,9,21.044,True,normal,0.0
12544376.295838282,16,mqtt_sn,downlink,8,20.544,True,normal,0.0
12544409.839838281,16,coap,downlink,10,41.288000000000004,True,normal,0.0
12922467.832657255,14,novel_lpwan,downlink,48,139.776,True,normal,0.0
12922669.684657255,14,mqtt_sn,downlink,47,40.044,True,normal,0.0
12923088.788657255,14,coap,downlink,49,141.376,True,normal,0.0
13135600.551743323,42,coap,downlink,11,22.044,True,normal,0.0
13290093.060737465,89,novel_lpwan,downlink,48,262.752,True,normal,0.0
13290618.340737466,89,coap,downlink,49,41.044,True,normal,0.0
13290199.236737465,89,mqtt_sn,downlink,47,923.908,True,normal,0.0
13341077.590671003,36,novel_lpwan,downlink,48,75.488,True,normal,0.0
13341698.546671003,36,coap,downlink,49,41.044,True,normal,0.0
13341279.442671003,36,mqtt_sn,downlink,47,486.704,True,normal,0.0
14307734.638081696,77,mqtt_sn,downlink,9,40.388000000000005,True,normal,0.0
14307704.594081696,77,novel_lpwan,downlink,10,152.55200000000002,True,normal,0.0
14307956.790081697,77,coap,downlink,11,22.044,True,normal,0.0
14853952.862430513,61,novel_lpwan,downlink,12,304.704,True,normal,0.0
14854335.566430513,61,mqtt_sn,downlink,11,42.188,True,normal,0.0
14854452.942430513,61,coap,downlink,13,83.776,True,normal,0.0
15262843.60739949,73,novel_lpwan,downlink,9,77.376,True,normal,0.0
15262963.08339949,73,coap,downlink,10,41.288000000000004,True,normal,0.0
15262900.19539949,73,mqtt_sn,downlink,8,146.752,True,normal,0.0
15334531.489382654,43,novel_lpwan,downlink,12,22.544,True,normal,0.0
15334588.077382654,43,mqtt_sn,downlink,11,22.044,True,normal,0.0
15334621.621382654,43,coap,downlink,13,83.776,True,normal,0.0
15475536.168078545,86,novel_lpwan,downlink,10,152.55200000000002,False,normal,0.0
15475738.020078545,86,mqtt_sn,downlink,9,21.044,True,normal,0.0
15475771.564078545,86,coap,downlink,11,22.044,True,normal,0.0
15541939.810121171,53,novel_lpwan,downlink,48,139.776,True,normal,0.0
15542141.662121171,53,mqtt_sn,downlink,47,138.176,True,normal,0.0
15548268.1085028,29,novel_lpwan,downlink,48,75.488,True,normal,0.0
15548298.1525028,29,mqtt_sn,downlink,47,74.58800000000001,True,normal,0.0
15548361.0405028,29,coap,downlink,49,41.044,False,normal,0.0
15705521.209588373,51,novel_lpwan,downlink,12,82.176,True,normal,0.0
15705723.061588373,51,mqtt_sn,downlink,11,42.188,True,normal,0.0
15817904.937816706,12,novel_lpwan,downlink,10,78.976,True,normal,0.0
15817961.525816705,12,mqtt_sn,downlink,9,77.376,True,normal,0.0
15818024.413816705,12,coap,downlink,11,42.188,True,normal,0.0
16202184.790270083,53,coap,downlink,49,265.652,True,normal,0.0
16262328.773911273,51,coap,downlink,13,43.98800000000001,True,normal,0.0
16363354.42769392,57,novel_lpwan,downlink,48,139.776,True,normal,0.0
16363501.84769392,57,coap,downlink,49,41.044,True,normal,0.0
16363384.47169392,57,mqtt_sn,downlink,47,259.852,True,normal,0.0
16522468.789677031,25,novel_lpwan,downlink,48,139.776,True,normal,0.0
16522574.965677032,25,mqtt_sn,downlink,47,74.58800000000001,False,normal,0.0
16522637.853677033,25,coap,downlink,49,265.652,True,normal,0.0
16741899.244507307,17,novel_lpwan,downlink,9,77.376,True,normal,0.0
16742005.420507308,17,mqtt_sn,downlink,8,75.776,True,normal,0.0
16893302.93431785,88,novel_lpwan,downlink,53,43.044,True,normal,0.0
16893778.626317848,88,coap,downlink,11,22.044,True,normal,0.0
16893359.52231785,88,mqtt_sn,downlink,9,562.908,True,normal,0.0
17027007.528715935,73,novel_lpwan,downlink,9,21.044,True,normal,0.0
17027064.116715934,73,mqtt_sn,downlink,8,75.776,True,normal,0.0
17027097.660715934,73,coap,downlink,10,572.408,True,normal,0.0
17070807.64668425,19,novel_lpwan,downlink,12,158.352,True,normal,0.0
17071256.79468425,19,coap,downlink,13,83.776,True,normal,0.0
17163663.95969242,36,novel_lpwan,downlink,48,40.544,True,normal,0.0
17163811.379692417,36,coap,downlink,49,141.376,True,normal,0.0
17163694.00369242,36,mqtt_sn,downlink,47,923.908,True,normal,0.0
17191596.29909327,67,novel_lpwan,downlink,48,75.488,True,normal,0.0
17191798.15109327,67,mqtt_sn,downlink,47,40.044,True,normal,0.0
17191831.69509327,67,coap,downlink,49,41.044,True,normal,0.0
17318204.796472315,17,coap,downlink,10,78.976,True,normal,0.0
17326004.297509614,55,mqtt_sn,downlink,11,80.576,True,normal,0.0
