protocol,delivery_rate,avg_cmd_latency_ms,energy_per_msg_mj,uplink_bytes,downlink_bytes,total_airtime_ms,commands_applied,ack_efficiency
novel_lpwan,0.9641537066741056,601793.9599045814,9.444021591464734,358475.0,6753.0,1728524.911999857,84.0,14.43525179856115
mqtt_sn,0.9640142269335379,600464.1577064131,9.832702062906339,387153.0,6483.0,1793381.5239998195,271.0,1.0
coap,0.9651998047283632,600459.8938257506,10.842089456168589,487526.0,7066.0,1972319.432000059,268.0,1.0
